RecordNo,Time,ElapsedHrs,Feed Solid Flow,Feed BPL,Feed P80,Feed Solid Fraction,Cyclone Feed Solid Flow,Cyclone Feed BPL,Cyclone Feed P80,Cyclone Feed Solid Fraction,Cyclone Underflow Solid Flow,Cyclone Underflow BPL,Cyclone Underflow P80,Cyclone Underflow Solid Fraction,Ball Mill Discharge Solid Flow,Ball Mill Discharge BPL,Ball Mill Discharge P80,Ball Mill Discharge Solid Fraction,Output Slurry Solid Flow,Output Slurry BPL,Output Slurry P80,Output Slurry Solid Fraction,Process Water Solid Flow,Process Water Solid Fraction
1,00:16:00.000,0.267,544.16,69.865,374.75,54.779,1193.5,70.11,222.73,45.104,649.19,70.315,320.75,68,649.19,70.315,136.99,68,544.18,69.865,146.27,32.177,0,0
2,00:30:00.000,0.500,544.16,69.865,374.75,54.779,1146.8,70.114,227.44,39.999,602.59,70.34,344.7,68,602.59,70.34,136.78,68,544.16,69.865,147.09,27.471,0,0
3,00:46:00.000,0.767,544.16,69.865,374.75,54.779,1146.8,70.114,227.44,40,602.6,70.34,344.7,68,602.6,70.34,136.79,68,544.15,69.865,147.09,27.473,0,0
4,01:00:00.000,1.000,544.16,69.865,374.75,54.779,1146.8,70.114,227.43,40,602.62,70.34,344.7,68,602.62,70.34,136.79,68,544.16,69.865,147.09,27.473,0,0
5,01:16:00.000,1.267,544.16,69.865,374.75,54.779,1146.8,70.114,227.43,40,602.62,70.34,344.7,68,602.62,70.34,136.79,68,544.16,69.865,147.09,27.473,0,0
6,01:30:00.000,1.500,544.16,69.865,374.75,54.779,1146.8,70.114,227.43,40,602.62,70.34,344.7,68,602.62,70.34,136.79,68,544.16,69.865,147.09,27.473,0,0
7,01:46:00.000,1.767,544.16,69.865,374.75,54.779,1146.8,70.114,227.43,40,602.62,70.34,344.7,68,602.62,70.34,136.79,68,544.16,69.865,147.09,27.473,0,0
8,02:00:00.000,2.000,544.16,69.865,374.75,54.779,1146.8,70.114,227.43,40,602.62,70.34,344.7,68,602.62,70.34,136.79,68,544.16,69.865,147.09,27.473,0,0
9,02:16:00.000,2.267,544.16,69.865,374.75,54.779,1146.8,70.114,227.43,40,602.62,70.34,344.7,68,602.62,70.34,136.79,68,544.16,69.865,147.09,27.473,0,0
10,02:30:00.000,2.500,544.16,69.865,374.75,54.779,1146.8,70.114,227.43,40,602.62,70.34,344.7,68,602.62,70.34,136.79,68,544.16,69.865,147.09,27.473,0,0
11,02:46:00.000,2.767,544.16,69.865,374.75,54.779,1146.8,70.114,227.43,40,602.62,70.34,344.7,68,602.62,70.34,136.79,68,544.16,69.865,147.09,27.473,0,0
